1024	0.215	0.12	0.5	0.927	1.597
2048	1.715	0.451	4.23	7.405	12.761
3072	5.777	11.195	13.161	24.87	42.956
4096	13.698	103.016	37.063	59.008	102.099
#       OWN	IBM	PPE	QUAD	DUO
