1	137.853	21.542	21.649	104.292	10.802
2	69.076	10.808	10.899	52.196	5.45
3	46.252	9.668	9.886	34.852	3.684
4	34.773	9.708	9.854	26.151	2.794
5	27.966	10.128	10.286	20.941	2.782
6	23.43	10.203	10.35	17.459	2.784
#       Random	Mult	Add	le	sum
