1024	0.111	0.191	0.416	0.345	0.345
2048	0.893	0.327	2.653	2.424	2.424
3072	2.685	1.01	10.1	10.5	9.2
4096	6.567	25.2	18.565	19.66	19.66
#       OWN	IBM	PPE	QUAD	DUO
